Time,instant_load
2021/8/1 23:43:39,37.45635
2021/8/1 23:48:44,37.14685
2021/8/1 23:53:48,36.56138
2021/8/1 23:58:23,36.45247
2021/8/2 0:03:28,36.64950
2021/8/2 0:08:32,36.54989
2021/8/2 0:13:37,36.28979
2021/8/2 0:18:42,35.46825
2021/8/2 0:23:47,32.60504
2021/8/2 0:28:51,33.18422
2021/8/2 0:33:27,34.20226
2021/8/2 0:38:31,40.40922
2021/8/2 0:43:36,40.01440
2021/8/2 0:48:41,39.49671
2021/8/2 0:53:46,38.62278
2021/8/2 0:58:51,38.21130
2021/8/2 1:03:26,38.01542
2021/8/2 1:08:31,38.34312
2021/8/2 1:13:36,38.69376
2021/8/2 1:18:41,38.54525
2021/8/2 1:23:46,38.32941
2021/8/2 1:28:51,38.35481
2021/8/2 1:33:26,38.14996
2021/8/2 1:38:31,38.56814
2021/8/2 1:43:36,38.38642
2021/8/2 1:48:41,38.06912
2021/8/2 1:53:46,38.16383
2021/8/2 1:58:51,38.12917
2021/8/2 2:03:26,38.44425
2021/8/2 2:08:31,38.32079
2021/8/2 2:13:36,38.36679
2021/8/2 2:23:46,37.95073
2021/8/2 2:28:51,37.97684
2021/8/2 2:33:26,37.53166
2021/8/2 2:38:31,37.41396
2021/8/2 2:43:36,36.96700
2021/8/2 2:48:41,29.28607
2021/8/2 2:53:45,30.33408
2021/8/2 2:58:50,30.74332
2021/8/2 3:03:25,39.50555
2021/8/2 8:08:04,42.55379
2021/8/2 8:13:08,42.12016
2021/8/2 8:17:43,41.10713
2021/8/2 8:22:47,40.78095
2021/8/2 8:27:52,39.63598
2021/8/2 8:32:56,38.97451
2021/8/2 8:38:00,38.66755
2021/8/2 8:43:04,36.27205
2021/8/2 8:48:08,37.84023
2021/8/2 8:53:11,38.84632
2021/8/2 8:57:44,38.54895
2021/8/2 9:00:25,38.85618
2021/8/2 9:05:29,40.08941
2021/8/2 9:10:32,40.18960
2021/8/2 9:15:36,41.14050
2021/8/2 9:20:40,41.63889
2021/8/2 9:25:14,41.85770
2021/8/2 9:30:18,41.72790
2021/8/2 9:35:22,41.70697
2021/8/2 9:40:26,41.29851
2021/8/2 9:45:29,41.50589
2021/8/2 9:47:49,41.34230
2021/8/2 9:52:53,38.77681
2021/8/2 9:57:57,38.79527
2021/8/2 10:03:01,38.95631
2021/8/2 10:08:06,39.61460
2021/8/2 10:13:09,39.75497
2021/8/2 10:18:13,43.01348
2021/8/2 10:22:47,42.45112
2021/8/2 10:27:51,43.03691
2021/8/2 10:32:55,40.79692
2021/8/2 10:38:06,40.76845
2021/8/2 10:43:10,40.86175
2021/8/2 10:47:45,41.33379
2021/8/2 10:50:37,41.63428
2021/8/2 10:55:41,41.57402
2021/8/2 11:00:45,41.34436
2021/8/2 11:05:49,42.93690
2021/8/2 11:10:54,41.94154
2021/8/2 11:15:29,41.85166
2021/8/2 11:20:33,40.83912
2021/8/2 11:30:41,38.53552
2021/8/2 11:35:46,38.72971
2021/8/2 11:40:52,38.36999
2021/8/2 11:45:27,37.87303
2021/8/2 11:50:32,38.00451
2021/8/2 11:55:43,36.45455
2021/8/2 12:00:48,35.17256
2021/8/2 12:10:27,31.42871
2021/8/2 12:40:54,39.53274
2021/8/2 12:45:29,39.86145
2021/8/2 15:15:39,42.79227
2021/8/2 15:20:45,42.46547
2021/8/2 15:25:50,41.57730
2021/8/2 15:30:25,38.75511
2021/8/2 15:35:30,35.07993
2021/8/2 15:40:34,35.21762
2021/8/2 15:45:38,35.48407
2021/8/2 15:50:43,34.08082
2021/8/2 15:55:48,34.54976
2021/8/2 16:00:52,34.73814
2021/8/2 16:05:27,36.39042
2021/8/2 16:10:32,36.27429
2021/8/2 16:15:36,38.20002
2021/8/2 16:20:42,39.23449
2021/8/2 16:25:47,38.09093
2021/8/2 16:30:51,38.06110
2021/8/2 16:35:26,37.22907
2021/8/2 16:40:30,36.57666
2021/8/2 16:45:35,37.09454
2021/8/2 16:50:40,35.86172
2021/8/2 17:00:51,35.09211
2021/8/2 17:05:25,35.59822
2021/8/2 17:32:26,35.25004
2021/8/2 17:37:31,37.62512
2021/8/2 17:47:37,36.51028
2021/8/2 21:48:16,33.61202
2021/8/2 21:58:26,28.22864
2021/8/2 22:28:27,26.52000
2021/8/2 23:13:12,34.16044
2021/8/2 23:18:16,30.79566
2021/8/2 23:23:21,30.97316
2021/8/2 23:43:11,30.04442
2021/8/2 23:48:17,30.50684
2021/8/2 23:53:21,30.32203
2021/8/2 23:58:26,38.34758
2021/8/3 0:03:31,32.23069
2021/8/3 0:08:37,26.94913
2021/8/3 0:13:12,33.14447
2021/8/3 0:18:17,32.99884
2021/8/3 0:23:23,36.94427
2021/8/3 0:28:28,32.66124
2021/8/3 0:33:33,32.92783
2021/8/3 0:38:37,33.16311
2021/8/3 0:43:11,33.55251
2021/8/3 0:48:17,33.58738
2021/8/3 0:53:22,33.42147
2021/8/3 0:58:27,33.70269
2021/8/3 1:03:33,33.80243
2021/8/3 1:08:38,33.57372
2021/8/3 1:13:13,33.36683
2021/8/3 1:18:18,34.10254
2021/8/3 1:23:23,34.58902
2021/8/3 1:28:28,39.21534
